tag,0
warrior female lead,warrior female lead
gwanggaeto the great,gwanggaeto the great
oblivious female lead,oblivious female lead
smart male lead ,smart male lead 
infectious disease,infectious disease
illness ,illness 
anthology,anthology
forced kiss,forced kiss
blood,blood
lesbian romance,lesbian romance
"""school friends' relationship ""","""school friends' relationship """
multi-generational ,multi-generational 
rich man/poor woman ,rich man/poor woman 
long lost sibling,long lost sibling
psychometry,psychometry
slow romance,slow romance
childish female lead,childish female lead
badass male lead ,badass male lead 
teen parents,teen parents
teen marriage,teen marriage
sociophobia,sociophobia
competition,competition
songwriter male lead,songwriter male lead
singing ,singing 
gaslighting,gaslighting
mental torment,mental torment
animal abuse,animal abuse
hot-tempered male lead ,hot-tempered male lead 
dark fantasy,dark fantasy
supernatural phenomena,supernatural phenomena
religion,religion
fantasy,fantasy
detective fiction ,detective fiction 
vampire ,vampire 
cold man/warm woman ,cold man/warm woman 
cheerful female lead ,cheerful female lead 
fan culture,fan culture
dropout,dropout
alcoholism,alcoholism
thief female lead,thief female lead
death of a father ,death of a father 
superhuman strength ,superhuman strength 
heartbreak,heartbreak
naive female lead,naive female lead
angel female lead,angel female lead
raised by grandmother,raised by grandmother
undercover agent male lead,undercover agent male lead
undercover agent female lead,undercover agent female lead
criminal organization,criminal organization
heiress female lead,heiress female lead
age gap [real life] ,age gap [real life] 
high class society,high class society
ice hockey,ice hockey
adult-minor relationship ,adult-minor relationship 
ambitious male lead,ambitious male lead
mean mother ,mean mother 
singer male lead ,singer male lead 
implied rape,implied rape
athlete female lead,athlete female lead
meet again,meet again
swimmer female lead ,swimmer female lead 
architecture industry,architecture industry
death of a husband,death of a husband
nice female lead ,nice female lead 
betrayal ,betrayal 
orphanage setting,orphanage setting
plastic surgeon male lead ,plastic surgeon male lead 
"""housemates' relationship""","""housemates' relationship"""
interior designer female lead,interior designer female lead
deliveryman/deliverywoman supporting character,deliveryman/deliverywoman supporting character
chairman/chairwoman supporting character ,chairman/chairwoman supporting character 
past and present,past and present
different timelines,different timelines
hypnotism ,hypnotism 
jack of all trades,jack of all trades
interior designer,interior designer
engagement,engagement
elderly care ,elderly care 
inheritance theft,inheritance theft
hotel setting,hotel setting
pâtissier,pâtissier
writer female lead,writer female lead
chef male lead ,chef male lead 
secret second family,secret second family
sick son,sick son
academic achievement,academic achievement
café owner female lead ,café owner female lead 
flashback to past ,flashback to past 
unusual friendship,unusual friendship
reserved male lead,reserved male lead
"""emperor's physician""","""emperor's physician"""
prime minister,prime minister
eunuch,eunuch
survival ,survival 
hwarang,hwarang
jinheung,jinheung
dissociative identity disorder,dissociative identity disorder
playful male lead,playful male lead
mind reading,mind reading
warm man/cold woman ,warm man/cold woman 
identical twin female lead,identical twin female lead
twin exchange,twin exchange
manager female lead,manager female lead
photographer supporting character,photographer supporting character
